F0010;F0020;F0100;F0101;F0110;F0120;F0130;F0140;F0150;F0160;F0170;F0180;F0190;F0200;F0210;F0220;F0230;F0240;F0250;F0260;F0270;MF0190;MF0200
5;52;7497459;F001;3.0316062402032;01;01;1;01;6;2;08;3;2;04;;2;3;3;988.33;1;0;0
5;52;1923926;F001;5.9323329530656;01;01;1;01;3;1;09;1;4;03;;0;2;1;1270.67;1;0;0
5;52;1452719;F001;3.2025506598749;01;01;1;01;3;2;13;1;1;10;;0;1;2;604;;0;0
5;52;6323279;F001;5.3190669316412;01;01;1;01;4;1;09;2;4;03;;1;3;1;1075;1;0;0
5;52;5412505;F001;9.2567290273224;01;01;1;01;3;1;12;1;4;02;;0;2;1;1704;1;0;0
5;52;4735294;F001;5.207292851372;01;01;1;01;4;1;10;4;4;03;;1;2;2;5000;1;0;0
5;52;6239211;F001;5.0582983477876;01;01;1;01;5;1;09;2;1;04;;2;1;4;1282.4;1;0;0
5;52;881195;F001;4.6545766063289;01;01;1;01;2;1;05;2;2;10;;0;2;0;1735;;0;0
5;52;5225811;F001;5.1312670715882;01;01;1;01;4;1;10;2;4;03;;0;1;3;3025;1;0;0
5;52;3154430;F001;5.4447695154538;01;01;1;01;2;1;07;2;4;01;;0;1;1;1656;1;0;0
5;52;982868;F001;5.3124098024585;01;01;1;01;2;1;11;3;4;01;;0;1;1;1700;1;0;0
5;52;3341489;F001;5.167413069123;01;01;1;01;3;2;16;1;1;06;;0;1;2;926.67;;0;0
5;52;6535552;F001;3.5229111125212;01;01;1;01;3;1;06;3;1;03;;1;1;2;2666.67;2;0;0
5;52;454878;F001;3.7766720248472;01;01;1;01;2;1;13;1;4;01;;0;1;1;2500;1;0;0
5;52;6974560;F001;6.0803847386039;01;01;1;01;4;2;05;2;4;05;;1;0;4;756;;0;0
5;52;1891203;F001;5.3778310343596;01;01;1;01;4;1;09;4;1;03;;0;1;3;2550;1;0;0
5;52;2123285;F001;7.1063698084917;01;01;1;01;3;1;10;3;2;03;;1;2;1;1133.33;1;0;0
5;52;6780957;F001;5.7460256083334;01;01;1;01;4;1;09;2;1;03;;1;3;1;1250;1;0;0
5;52;2167805;F001;3.655013310183;01;01;1;01;4;1;11;1;4;03;;0;2;2;2650;1;0;0
5;52;1100917;F001;3.6369603799503;01;01;1;01;3;2;13;1;4;10;;0;1;2;404;;0;0
5;52;3857077;F001;6.9963037016016;01;01;1;01;3;2;06;4;4;03;;1;2;1;666.67;3;0;0
5;52;1130403;F001;6.6057439323198;01;01;1;01;3;1;11;1;1;03;;0;2;1;833.33;2;0;0
5;52;5588087;F001;3.6177226870988;01;01;1;01;6;2;07;2;4;03;;4;5;1;483.33;1;0;0
5;52;5804818;F001;6.2206773970093;01;01;1;01;5;2;14;1;2;06;;0;2;3;1029.6;;0;0
5;52;6579757;F001;5.4632611380878;01;01;1;02;2;1;11;2;2;01;;0;1;1;1550;1;0;0
5;52;6579757;F002;5.4632611380878;01;01;1;03;2;;;;;;3;;0;2;550;;9;9
5;52;2778177;F001;5.596132250789;01;01;1;01;2;1;06;3;1;01;;0;1;1;1650;1;0;0
5;52;3461819;F001;5.0868568287667;01;01;1;01;3;1;07;1;4;03;;1;1;2;933.33;1;0;0
5;52;2733916;F001;5.2426320781038;01;01;1;01;2;1;12;3;4;01;;0;1;1;2320;1;0;0
5;52;4889148;F001;4.6073368593742;01;01;1;01;3;1;13;3;4;03;;0;2;1;5067;1;0;0
5;52;351778;F001;5.4064276670546;01;01;1;01;3;1;12;3;4;03;;0;1;2;1737.33;2;0;0
5;52;587796;F001;7.5270003764961;01;01;1;01;2;1;09;3;4;01;;0;1;1;1606.5;1;0;0
5;52;5172040;F001;4.6233676207173;01;01;1;01;4;2;10;3;4;03;;0;2;2;1039;1;0;0
5;52;4701606;F001;3.2581505810951;01;01;1;01;3;1;17;1;4;03;;1;1;2;808;2;0;0
5;52;1117176;F001;6.0850833777559;01;01;1;01;2;1;12;2;4;01;;0;1;1;1612;1;0;0
5;52;50858;F001;5.4291787257607;01;01;1;01;2;2;14;2;4;05;;0;1;1;1800;;0;0
5;52;1556902;F001;4.7052912418758;01;01;1;01;2;1;15;1;4;07;;1;2;0;606;;0;0
5;52;5185516;F001;5.1873174758837;01;01;1;01;2;2;16;1;2;05;;0;0;2;1212;;0;0
5;52;6396124;F001;2.8390293471709;01;01;1;01;3;1;11;1;4;03;;0;2;1;1904.33;1;0;0
5;52;5535696;F001;4.8570078893682;01;01;1;01;3;1;06;2;1;03;;1;1;2;800.33;1;0;0
5;52;3730791;F001;4.2571368082925;01;01;1;01;2;2;13;4;1;10;;0;0;2;1500.5;;0;0
5;52;5453462;F001;9.7599278469469;01;01;1;01;4;2;11;4;4;04;;1;3;1;803.25;2;0;0
5;52;3496458;F001;3.8408301334506;01;01;1;02;5;2;12;1;4;10;;0;1;4;1080;;0;0
5;52;3496458;F002;3.8408301334506;01;01;1;03;2;;;;;;1;;1;1;700;;9;9
5;52;5314712;F001;5.0441175433739;01;01;1;02;4;2;15;3;4;05;;3;1;3;303;;0;0
5;52;5314712;F002;5.0441175433739;01;01;1;03;2;;;;;;3;;1;1;606;;9;9
5;52;608393;F001;7.0642942672133;01;01;1;01;3;1;12;4;1;03;;0;1;2;1566.67;3;0;0
5;52;6223114;F001;3.5784810975913;01;01;1;01;3;2;13;1;4;06;;0;0;3;1071;;0;0
5;52;5982452;F001;6.900221117104;01;01;1;01;3;2;14;3;1;02;;0;2;1;1879;1;0;0
5;52;6726985;F001;4.1750016385043;01;01;1;01;4;2;08;3;4;05;;2;1;3;500.25;;0;0
5;52;6732895;F001;3.2542304636556;01;01;1;01;4;2;07;3;4;03;;2;1;3;325;1;0;0
5;52;4399030;F001;4.8464712630303;01;01;1;01;4;1;06;3;2;04;;1;1;3;654.5;2;0;0
5;52;656820;F001;4.5681327515323;01;01;1;01;3;1;12;2;1;03;;0;2;1;2267.33;1;0;0
5;52;5813231;F001;6.4086137776967;01;01;1;01;2;1;14;1;1;01;;0;1;1;1512;1;0;0
5;52;5928225;F001;4.3548321568659;01;01;1;01;4;1;11;1;4;03;;1;2;2;1000;2;0;0
5;52;3435069;F001;4.5466158962996;01;01;1;01;4;1;11;3;4;03;;2;2;2;600.25;1;0;0
5;52;4867195;F001;5.9102572778453;01;01;1;01;2;1;08;3;1;01;;0;1;1;4200;1;0;0
5;52;7252521;F001;6.1532712130061;01;01;1;01;2;1;12;4;1;01;;0;1;1;6106;1;0;0
5;52;3717123;F001;5.9722908091683;01;01;1;01;2;1;09;1;1;01;;0;1;1;1400;1;0;0
5;52;7359399;F001;2.8919922802385;01;01;1;01;3;1;17;2;1;03;;0;2;1;1866.67;1;0;0
5;52;5584758;F001;5.8796112076648;01;01;1;01;3;2;09;1;4;03;;1;2;1;1071;1;0;0
5;52;727989;F001;5.1576225597677;01;01;1;01;3;1;13;3;1;03;;0;2;1;1404.33;1;0;0
