M0010;M0020;M0100;M0101;M0110;M0120;M0130;M0140;M0150;M0160;M0170;MM0150;MM0160;MM0170
5;52;2123285;M001;7.1063698084917;01;01;1;3;1;01;0;0;0
5;52;7468973;M001;4.2430600491832;01;01;1;2;1;17;0;0;0
5;52;2493584;M001;2.181650211401;01;01;1;2;1;13;0;0;0
5;52;7743236;M001;5.8659731865849;01;01;1;1;1;17;0;0;0
5;52;3347540;M001;6.510822476952;01;01;1;2;1;14;0;0;0
5;52;779326;M001;9.0228897805338;01;01;1;1;2;14;0;0;0
5;52;7485093;M001;6.727297987594;01;01;1;3;1;12;0;0;0
5;52;1794053;M001;9.2259431622477;08;01;2;3;1;14;0;0;0
5;52;1794053;M002;9.2259431622477;08;01;2;3;2;17;0;0;0
5;52;484654;M001;2.8321755475651;08;01;2;4;2;13;0;0;0
5;52;1209260;M001;3.5089548243765;08;01;2;2;1;14;0;0;0
5;52;1291202;M001;5.0845815484889;03;01;1;2;1;14;0;0;0
5;52;4289238;M001;2.6766950778027;01;01;1;3;1;17;0;0;0
5;52;4268033;M001;5.1752293499603;01;01;1;4;1;17;0;0;0
5;52;2178204;M001;4.8480760383374;01;01;1;4;2;14;0;0;0
5;52;2178204;M002;4.8480760383374;01;01;1;1;1;16;0;0;0
5;52;1702629;M001;4.2427436865231;01;01;1;2;2;07;0;0;0
5;52;991121;M001;6.5563139793059;01;01;1;3;1;15;0;0;0
5;52;112828;M001;4.6637637460137;01;01;1;3;1;13;0;0;0
5;52;845318;M001;6.510822476952;01;01;1;4;2;11;0;0;0
5;52;4022143;M001;4.489128023296;01;01;1;2;2;16;0;0;0
5;52;1653772;M001;3.7766720248472;01;01;1;2;2;17;0;0;0
5;52;2879287;M001;4.9081297528527;01;01;1;3;1;01;0;0;0
5;52;5813569;M001;5.9047693963211;01;01;1;1;2;14;0;0;0
5;52;6303848;M001;5.6798167580991;01;01;1;1;2;05;0;0;0
5;52;7161989;M001;7.1759782913828;01;01;1;3;1;11;0;0;0
5;52;1306589;M001;4.7155254814551;01;01;1;1;1;12;0;0;0
5;52;6403886;M001;7.5425062316693;01;01;1;1;2;13;0;0;0
5;52;1942432;M001;6.2685725883046;01;01;1;4;1;11;0;0;0
5;52;6736811;M001;3.4576239766116;01;01;1;3;1;17;0;0;0
5;52;6009290;M001;2.3247746602018;01;01;1;4;1;07;0;0;0
5;52;5175256;M001;2.5896268695933;01;01;1;2;2;13;0;0;0
5;52;7349251;M001;3.8634799795311;02;01;1;1;1;15;0;0;0
